x	y	resid
181268.98	423195.13	7.589
182830.63	422741.69	492.8458
182458.56	422702.34	-40.4131
181534.67	422114.28	-115.741
183871.47	421777.78	86.507
160164.83	426436.28	16.664
163445.41	429784.69	-2.0851
160028.41	432685.56	83.1042
166960.20	428686.38	7.7245
178655.03	427038.44	-24.238
178423.59	426149.31	-57.658
171293.88	430254.66	-34.3408
177405.94	423041.63	-5.23
171120.91	431577.66	0.2162
181396.38	426471.28	-14.8928
180255.11	425988.66	28.1892
183145.03	429377.97	16.9439
181172.11	424633.78	-24.233
181831.66	419442.09	-3.5675
183091.66	428038.63	4.0293
182858.78	427896.06	0.2783
182814.22	422665.66	-30.8243
159463.89	432460.09	-17.5056
169605.89	431473.00	2.519
168671.30	429422.75	27.8801
178903.33	432023.13	-110.4505
175575.80	429855.09	6.9196
179506.38	426198.56	49.2135
177163.48	426164.13	11.1421
177431.55	429052.50	29.7905
179386.19	423429.91	36.0409
176431.45	428163.50	73.9863
179768.50	431152.06	-9.8061
176151.33	427436.28	20.7
183256.52	419276.66	1.3097
157784.14	426500.47	18.6393
161394.06	425700.53	-36.9949
169036.92	429926.69	-4.6946
175405.64	425598.03	12.1985
177083.53	425506.22	-22.0726
171382.41	430275.31	15.9324
177609.80	433956.53	-125.6661
175280.72	432984.28	26.6063
157909.30	426549.28	21.6249
157145.00	428995.47	-29.0914
159947.11	426827.69	-13.1169
172456.42	427642.56	-2.4584
179541.34	429513.31	-59.9021
177689.44	428958.59	-2.1649
170848.59	428843.44	13.793
182424.39	431057.72	30.1158
161245.97	426688.47	-42.1246
165536.58	431447.09	2.0957
161143.31	432268.94	-2.7728
172471.41	431034.16	10.7099
178279.63	425736.59	11.0551
171430.80	432579.91	6.0501
176709.09	431187.16	11.9515
183324.20	426134.22	-550.999
158838.17	428937.41	-6.351
159453.06	428300.31	7.8141
158486.23	428532.81	-13.5143
160209.05	431110.91	17.7986
163918.63	432315.78	-113.6067
175911.55	429981.94	15.7742
178162.16	431560.78	2.8278
179811.80	431349.16	-33.6907
173566.16	432865.66	-12.4565
175377.67	429181.19	17.0587
176091.17	433757.78	-41.8068
172673.61	425584.91	-23.6499
173150.55	431764.53	22.3107
173945.11	428969.19	-24.063
173820.75	428881.09	32.3637
168629.56	433575.03	-19.9197
178488.70	431885.00	-1.0455
176223.47	424920.00	-79.5337
179426.31	429078.47	-6.9368
184023.95	430107.06	-65.812
181753.00	420047.19	17.4448
156610.33	427161.81	-98.4035
157648.56	429108.31	-95.4566
163483.94	430599.97	26.2527
169233.52	426866.25	75.7695
174187.92	427406.72	44.2952
153605.66	423200.81	239.4035
174891.69	430740.69	10.4051
179712.56	428959.75	-31.1309
176192.58	421652.66	-3.0684
173046.86	428359.19	18.0957
182992.45	421342.06	-24.5251
180238.08	430045.72	-140.9982
180317.88	420736.84	29.2938
180245.33	428539.44	-14.5129
182323.13	419701.41	33.1394
184259.69	422844.25	2.2046
185895.80	419594.13	23.921
186346.44	419526.25	40.669
183489.41	419314.34	11.8593
181727.05	423046.28	28.292
161448.50	431866.47	20.2465
177408.39	424606.78	71.5939
176515.86	424595.75	-9.8112
174957.19	431025.41	-2.0615
178527.78	429132.81	13.7139
178330.63	422221.00	31.367
182770.08	420686.16	66.9893
180290.67	424754.28	-187.35
182371.84	429321.69	-14.6214
186291.80	419957.41	7.9988
157493.67	429681.41	120.8101
166180.25	431465.44	-4.0399
170829.78	434171.00	93
164446.08	432898.31	-145.4007
163918.34	427359.75	24.5282
178518.69	427179.44	28.7954
179829.08	428441.00	5.2443
174173.36	425330.19	2.8381
174514.88	429264.19	14.3102
178756.39	421138.16	-8.4132
183821.56	420652.34	-29.4797
164936.72	427093.75	3.5182
158949.72	425013.97	1.7161
169146.45	431472.53	9.4519
164488.38	432223.91	-159.1914
179347.73	430614.13	-12.9894
172923.34	432989.94	3.2786
170692.19	432862.88	-89.6819
177765.81	428923.38	8.6378
174834.38	425099.28	35.8847
174856.39	429072.53	10.3806
181049.66	422262.00	-3.4316
183507.30	427433.53	-94.3571
172919.53	431351.50	-8.7144
186474.61	420859.34	7.1769
186397.53	420688.78	7.1107
180344.95	428833.13	-7.3256
158779.34	429024.38	0.5618
158590.03	430301.22	0.0252
170641.22	434274.00	22.0706
164311.92	433331.47	58.7859
168160.39	426857.72	-12.4013
165369.06	427926.09	-9.2932
170355.50	428155.81	8.1703
171715.56	432765.47	-8.0618
173150.50	432371.22	6.7075
175402.69	428415.00	2.8503
173652.36	425333.69	-10.3146
185629.50	420022.53	-7.9371
183573.48	421980.41	-49.709
161575.73	426138.81	-21.3881
160742.75	432869.28	73.626
172682.47	433915.16	58.3742
179539.14	425698.00	36.5924
172989.08	430701.94	8.8528
170514.84	426271.00	78.0524
174321.20	430398.88	-128.699
178910.55	428389.97	8.4739
172521.11	429062.72	-10.0018
181897.64	426192.97	-31.9308
184872.63	430157.63	13.0433
182796.73	422356.63	-53.421
175560.98	422312.63	-35.0196
185820.14	420500.38	-126.885
184627.92	422877.47	-39.0604
168070.91	433314.09	2.4709
172938.88	433767.53	15.4779
179114.80	426447.34	-131.4854
173304.27	431526.94	14.0143
173213.53	429068.31	4.5215
182768.81	424812.84	-9.1776
180496.72	429573.75	-53.6284
183855.92	428568.38	-107.2223
180037.94	422140.56	-7.2154
162960.33	431205.78	-6.0301
166739.20	430913.63	-0.5625
161417.63	427651.31	2.2631
176096.59	431726.47	12.9478
175404.41	426087.63	-15.6017
180240.66	432031.28	30.8464
170026.63	430970.47	9.3115
172899.27	425763.66	47.3357
172131.56	428829.09	19.6013
181079.47	430858.47	-67.6601
183800.92	425395.28	-141.671
180406.20	424332.47	14.275
181174.31	422909.91	388.6696
176435.48	424373.38	-65.1028
177698.41	426331.28	51.53
177359.59	429593.34	15.1215
177184.86	427884.19	5.0618
174319.81	428776.59	4.7839
170037.77	428743.72	17.9506
179706.39	427220.00	-33.6456
183086.48	426033.00	-443.966
181865.39	423526.81	5.17
185703.70	418803.22	-7.3481
183528.20	427989.25	-15.4739
183883.69	427854.34	-507.997
164362.34	430965.72	7.46
160804.66	429902.03	8.7568
176087.08	427193.38	138.9589
159523.33	428875.78	5.4443
158628.11	428543.28	27.2252
159022.98	429743.19	-1.3176
165891.25	431437.53	2.7505
161805.98	431134.09	-2.1992
165409.11	427817.13	-3.3067
169686.45	427529.59	-1.0488
176848.02	430127.19	2.1281
177023.38	428625.66	19.8549
177500.75	427263.78	6.3362
183216.14	430520.63	3.217
180650.00	429794.66	-0.1667
178732.08	421222.63	-0.5204
182430.53	419741.84	30.1682
168310.55	431772.22	11.0037
158775.58	425765.44	-11.5953
160117.56	431052.97	7.7394
167416.88	429930.16	6.9239
161711.47	429194.44	3.2303
161172.31	428894.38	10.7656
166175.13	428772.41	-13.002
168233.95	427080.94	59.2158
160494.39	431677.06	-2.974
179366.25	419355.59	-319.029
172015.86	433709.31	41.6624
178760.81	430352.34	-21.2504
177764.92	430138.41	17.085
173898.42	426441.56	7.3002
173395.63	431509.22	17.3097
